#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
253,G-F,Danny Green,San Antonio Spurs,57,11.5%,1.1,0.6,0.557,0.5,0.3,0.8,34%,35.1%,21.3%,1.6%,0%,27.9%
254,G,Emmanuel Mudiay,New York Knicks,13,45.9%,6.5,3.5,0.548,3.4,1.4,4.8,29%,29.8%,16.7%,10.7%,8.3%,29.8%
255,F,Draymond Green,Golden State Warriors,59,3.2%,0.4,0.2,0.542,0.2,0.1,0.3,23.5%,23.5%,16.7%,12.5%,12.5%,29.2%
256,F,Doug McDermott,New York Knicks,55,3.9%,0.3,0.1,0.533,0.2,0.1,0.3,28.6%,28.6%,6.7%,0%,0%,26.7%
257,F,Royce ONeale,Utah Jazz,55,15.6%,0.9,0.5,0.532,0.5,0.2,0.7,30.6%,31.9%,21.3%,4.3%,2.1%,25.5%
258,G-F,Alex Abrines,Oklahoma City Thunder,64,7%,0.3,0.2,0.524,0.2,0.1,0.2,28.6%,28.6%,28.6%,9.5%,9.5%,23.8%
259,,Xavier Rathan-Mayes,Memphis Grizzlies,5,57.9%,6.6,3.4,0.515,4,1.6,5.6,28.6%,30.4%,15.2%,3%,3%,24.2%
260,,Kay Felder,Chicago Bulls,14,49.4%,3.1,1.6,0.512,1.6,0.6,2.3,28.1%,28.1%,20.9%,4.7%,4.7%,25.6%
261,F,Dragan Bender,Phoenix Suns,70,2%,0.1,0.1,0.5,0.1,<0.1,0.1,28.6%,35.7%,30%,0%,0%,20%
262,G,Shaquille Harrison,Phoenix Suns,11,19.4%,1.1,0.5,0.5,0.5,0.1,0.5,16.7%,16.7%,33.3%,16.7%,16.7%,25%
263,G,Matthew Dellavedova,Milwaukee Bucks,37,34.8%,1.9,0.9,0.493,0.9,0.4,1.3,30.6%,32.7%,29.6%,4.2%,4.2%,22.5%
264,G,Tyrone Wallace,Los Angeles Clippers,21,14%,1.5,0.7,0.484,1,0.2,1.2,19.2%,19.2%,6.5%,9.7%,9.7%,25.8%
265,G,Shaun Livingston,Golden State Warriors,60,7.2%,0.4,0.2,0.48,0.2,0.1,0.3,29.4%,29.4%,28%,4%,4%,24%
266,G,David Nwaba,Chicago Bulls,56,5.5%,0.4,0.2,0.478,0.2,0.1,0.2,25%,25%,21.7%,26.1%,26.1%,26.1%
267,G,Kentavious Caldwell-Pope,Los Angeles Lakers,60,10.1%,1.3,0.6,0.475,0.8,0.2,1.1,21.9%,23.4%,13.8%,6.3%,5%,23.8%
268,F,DeAndre Bembry,Atlanta Hawks,21,22.5%,1.6,0.8,0.471,0.6,0.3,0.9,31.6%,31.6%,35.3%,11.8%,8.8%,26.5%
269,G,Patrick McCaw,Golden State Warriors,50,14.9%,0.6,0.3,0.469,0.4,0.1,0.5,22.2%,22.2%,9.4%,6.3%,6.3%,25%
