#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
137,G,Devin Booker,Phoenix Suns,54,11.7%,3,2.5,0.826,1.6,0.9,2.5,36.3%,41.1%,8.7%,7.5%,6.8%,37.9%
138,G,Yogi Ferrell,Dallas Mavericks,68,5.8%,0.6,0.5,0.825,0.3,0.2,0.5,36.4%,39.4%,7.5%,12.5%,12.5%,40%
139,G,Antonio Blakeney,Chicago Bulls,16,13.3%,1.1,0.9,0.824,0.6,0.2,0.8,23.1%,30.8%,5.9%,17.6%,17.6%,35.3%
140,G,DAngelo Russell,Brooklyn Nets,34,13.6%,2.5,2.1,0.824,1.2,0.8,2,38.8%,44%,15.3%,9.4%,8.2%,36.5%
141,G,Jamal Murray,Denver Nuggets,68,10.5%,1.7,1.4,0.823,0.9,0.5,1.5,36.4%,40.4%,7.1%,7.1%,7.1%,37.2%
142,F,Cedi Osman,Cleveland Cavaliers,54,5.9%,0.2,0.2,0.818,0.1,0.1,0.2,40%,40%,0%,9.1%,9.1%,45.5%
143,C,Jahlil Okafor,Brooklyn Nets,23,7.9%,0.5,0.4,0.818,0.2,0.2,0.4,44.4%,44.4%,9.1%,9.1%,0%,45.5%
144,F,Wesley Iwundu,Orlando Magic,51,5.7%,0.2,0.2,0.818,0.1,0.1,0.1,57.1%,57.1%,27.3%,9.1%,9.1%,45.5%
145,G,Alec Burks,Utah Jazz,59,11.6%,1,0.8,0.814,0.5,0.3,0.8,36.7%,44.9%,15.3%,5.1%,5.1%,32.2%
146,F-C,Marreese Speights,Orlando Magic,49,4.1%,0.3,0.3,0.812,0.2,0.1,0.2,27.3%,31.8%,12.5%,25%,12.5%,37.5%
147,G,Tyler Dorsey,Atlanta Hawks,43,7.5%,0.5,0.4,0.81,0.3,0.1,0.5,30%,37.5%,0%,4.8%,4.8%,33.3%
148,G,Dennis Smith Jr.,Dallas Mavericks,59,19.3%,3.6,2.9,0.808,1.9,1.1,3,36.9%,40.6%,8.9%,10.3%,8.9%,38%
149,G-F,Jonathon Simmons,Orlando Magic,68,8.4%,1.2,1,0.807,0.5,0.4,0.9,41.9%,43.5%,18.1%,9.6%,9.6%,38.6%
150,C,Marc Gasol,Memphis Grizzlies,64,5.4%,1,0.8,0.806,0.5,0.3,0.8,38.9%,38.9%,9%,10.4%,10.4%,41.8%
151,G,Reggie Jackson,Detroit Pistons,33,12.7%,2,1.6,0.806,1.1,0.6,1.7,34.5%,40%,6%,13.4%,13.4%,37.3%
152,F,Brandon Ingram,Los Angeles Lakers,57,14.1%,2.5,2,0.803,1.2,0.7,1.9,38.5%,38.5%,9.9%,14.8%,13.4%,40.8%
